Designator,Footprint,Quantity,Value,LCSC Part #
ATtiny402-SS,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny402-SS,
"C1, C3",1206,2,C,
C2,CP_Radial_D4.0mm_P1.50mm,1,C_Polarized,
D1,1206,1,LED,
FLASH,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,FLASH,
HALL,TO-92S-3_L4.1-W1.7-P1.27-L,1,A3144EUA-T-JSM,C18188954
J1,AMPHENOL_61729-1010BLF,1,61729-1010BLF,
R1,1206,1,1K,
R2,1206,1,10K,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,CH330N,
