Designator,Mid X,Mid Y,Rotation,Layer
ATtiny402-SS,164.165,-71.382,270.0,top
C1,155.729,-61.733,180.0,top
C2,159.598,-65.246,0.0,top
C3,175.16,-77.836,90.0,top
D1,177.854,-62.608,180.0,top
FLASH,169.107,-79.22,180.0,top
HALL,149.4075,-73.23,270.0,top
J1,168.03,-53.1825,180.0,top
R1,173.693,-64.383,90.0,top
R2,166.647,-64.4455,270.0,top
U2,174.668,-71.907,90.0,top
