Designator,Mid X,Mid Y,Rotation,Layer
C1,114.2,-69.22,0.0,top
C2,101.95,-69.13,0.0,top
D1,107.51,-77.21,0.0,top
D2,88.845,-65.99,180.0,top
J1,70.54,-75.07,180.0,top
J2,124.285,-75.51,90.0,top
R1,103.93,-83.55,0.0,top
R2,100.92,-66.54,0.0,top
R3,85.0,-79.79,0.0,top
R4,89.12,-70.56,0.0,top
R5,84.61,-75.36,0.0,top
U1,93.71,-77.195,90.0,bottom
